Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Design and Implementation of Semantic Web-Based Architecture for Augmented Reality Browser","The Semantic Web. Latest Advances and New Domains","","","","10.1007/978-3-319-18818-8_46","Tamás Matuszka","2015","http://link.springer.com/chapter/10.1007/978-3-319-18818-8_46","Chapter"
"Scalable Architecture, Storage and Visualization Approaches for Time Series Analysis Systems","Data Management Technologies and Applications","","","","10.1007/978-3-030-54595-6_4","Eduardo DuarteDiogo GomesDavid CamposRui L. Aguiar","2020","http://link.springer.com/chapter/10.1007/978-3-030-54595-6_4","Chapter"
"Conceptual Modeling of the Social Environment for Information Support in Management Processes","Electronic Governance and Open Society: Challenges in Eurasia","","","","10.1007/978-3-030-39296-3_11","Alexey Y. TimoninAlexander M. BershadskyAlexander S. Bozhday","2020","http://link.springer.com/chapter/10.1007/978-3-030-39296-3_11","Chapter"
"Continuous Improvement Process Model for Supporting the Construction of Internet of Things System Design Environments","Intelligent Information and Database Systems","","","","10.1007/978-981-15-3380-8_37","Cezary OrłowskiDawid CygertPrzemysław Nowak","2020","http://link.springer.com/chapter/10.1007/978-981-15-3380-8_37","Chapter"
"Generating Executable Mappings from RDF Data Cube Data Structure Definitions","On the Move to Meaningful Internet Systems. OTM 2018 Conferences","","","","10.1007/978-3-030-02671-4_21","Christophe DebruyneDave LewisDeclan O’Sullivan","2018","http://link.springer.com/chapter/10.1007/978-3-030-02671-4_21","Chapter"
"Entity-Event Ontology Construction by Conceptualization of Mentions in Text Corpus","Applied Mathematics and Computational Mechanics for Smart Applications","","","","10.1007/978-981-33-4826-4_23","Michael C. Ridley","2021","http://link.springer.com/chapter/10.1007/978-981-33-4826-4_23","Chapter"
"PolicyCLOUD: Analytics as a Service Facilitating Efficient Data-Driven Public Policy Management","Artificial Intelligence Applications and Innovations","","","","10.1007/978-3-030-49161-1_13","Dimosthenis KyriazisOfer BiranThanassis BourasKlaus BrischArmend DuzhaRafael del HoyoAthanasios KiourtisPavlos KranasIlias MaglogiannisGeorge ManiasMarc MeerkampKonstantinos MoutselosArgyro MavrogiorgouPanayiotis MichaelRicard MunnéGiuseppe La Rocca","2020","http://link.springer.com/chapter/10.1007/978-3-030-49161-1_13","Chapter"
"Semantically-Enabled Optimization of Digital Marketing Campaigns","The Semantic Web – ISWC 2019","","","","10.1007/978-3-030-30796-7_22","Vincenzo CutronaFlavio De PaoliAljaž KošmerljNikolay NikolovMatteo PalmonariFernando PeralesDumitru Roman","2019","http://link.springer.com/chapter/10.1007/978-3-030-30796-7_22","Chapter"
"Canonical Data Model for Data Warehouse","New Trends in Databases and Information Systems","","","","10.1007/978-3-319-44066-8_8","Manuk ManukyanGrigor Gevorgyan","2016","http://link.springer.com/chapter/10.1007/978-3-319-44066-8_8","Chapter"
"ENSTDM: An ENtity-Based Spatio-Temporal Data Model and Case Study in Real Estate Management","Spatial Data and Intelligence","","","","10.1007/978-3-030-85462-1_3","Wei XiongHao ChenNing GuoQi GongWenze Luo","2021","http://link.springer.com/chapter/10.1007/978-3-030-85462-1_3","Chapter"
"A Distributed Sensor Network for Waste Water Management Plant Protection","Sensors","","","","10.1007/978-3-319-55077-0_39","S. De VitoG. FattorusoE. EspositoM. SalvatoA. AgrestaM. PanicoA. LeopardiF. FormisanoA. BuonannoP. Delli VeneriG. Di Francia","2018","http://link.springer.com/chapter/10.1007/978-3-319-55077-0_39","Chapter"
"Integration of Hazard Management Services","Exploring Services Science","","","","10.1007/978-3-319-32689-4_27","Anca Daniela IonitaCristina-Teodora EftimieGrace LewisMarin Litoiu","2016","http://link.springer.com/chapter/10.1007/978-3-319-32689-4_27","Chapter"
"Adaptive Database’s Performance Tuning Based on Reinforcement Learning","Knowledge Management and Acquisition for Intelligent Systems","","","","10.1007/978-3-030-30639-7_9","Chee Keong WeeRichi Nayak","2019","http://link.springer.com/chapter/10.1007/978-3-030-30639-7_9","Chapter"
"Concept and Framework of 3D Geo-Spatial Grid System","Web and Wireless Geographical Information Systems","","","","10.1007/978-3-030-17246-6_11","Ji Song YooKyung Ju MinJong Wook Ahn","2019","http://link.springer.com/chapter/10.1007/978-3-030-17246-6_11","Chapter"
"Big Data Approach to Analyzing Job Portals for the ICT Market","Information Systems Architecture and Technology: Proceedings of 39th International Conference on Information Systems Architecture and Technology – ISAT 2018","","","","10.1007/978-3-319-99996-8_25","Celina M. OlszakPaweł Lorek","2019","http://link.springer.com/chapter/10.1007/978-3-319-99996-8_25","Chapter"
"Integrated Internet of Things and Analysis Framework for Industrial Applications Using a Multi Tiered Analysis Architecture","Trends in Computational Intelligence, Security and Internet of Things","","","","10.1007/978-3-030-66763-4_25","Ishaan LodhaMaroli Karthik RaoChinta Subhash ChandraAbhimanyu Roy","2020","http://link.springer.com/chapter/10.1007/978-3-030-66763-4_25","Chapter"
"A Graph Based Analysis of User Mobility for a Smart City Project","Next Generation Computing Technologies on Computational Intelligence","","","","10.1007/978-981-15-1718-1_12","Jai Prakash VermaSapan H. MankadSanjay Garg","2019","http://link.springer.com/chapter/10.1007/978-981-15-1718-1_12","Chapter"
"Information Requirements for Big Data Projects: A Review of State-of-the-Art Approaches","Databases and Information Systems","","","","10.1007/978-3-319-97571-9_8","Natalija KozminaLaila NiedriteJanis Zemnickis","2018","http://link.springer.com/chapter/10.1007/978-3-319-97571-9_8","Chapter"
"Covid-19 Containment: Demystifying the Research Challenges and Contributions Leveraging Digital Intelligence Technologies","Machine Intelligence and Smart Systems","","","","10.1007/978-981-33-4893-6_18","Chellammal SurianarayananPethuru Raj Chelliah","2021","http://link.springer.com/chapter/10.1007/978-981-33-4893-6_18","Chapter"
"Big Data, Simulations and HPC Convergence","Big Data Benchmarking","","","","10.1007/978-3-319-49748-8_1","Geoffrey FoxJudy QiuShantenu JhaSaliya EkanayakeSupun Kamburugamuve","2016","http://link.springer.com/chapter/10.1007/978-3-319-49748-8_1","Chapter"
"SecGDB: Graph Encryption for Exact Shortest Distance Queries with Efficient Updates","Financial Cryptography and Data Security","","","","10.1007/978-3-319-70972-7_5","Qian WangKui RenMinxin DuQi LiAziz Mohaisen","2017","http://link.springer.com/chapter/10.1007/978-3-319-70972-7_5","Chapter"
"A Systematic Mapping Study of Cloud Large-Scale Foundation—Big Data, IoT, and Real-Time Analytics","Data Management, Analytics and Innovation","","","","10.1007/978-981-32-9949-8_24","Isaac Odun-AyoRowland Goddy-WorluTemidayo Abayomi-ZannuEmanuel Grant","2020","http://link.springer.com/chapter/10.1007/978-981-32-9949-8_24","Chapter"
