Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kendea, M., Gkantouna, V., Rapti, A., Sioutas, S., Tzimas, G., Tsolis, D.","57076753200;36696397500;6602102893;16550651500;7003604770;10739917700;","Graph DBs vs. Column-oriented stores: A pure performance comparison",2016,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9511",,,"62","74",,1,"10.1007/978-3-319-29919-8_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960448952&doi=10.1007%2f978-3-319-29919-8_5&partnerID=40&md5=e5b3584d2460c3e1c97d8cc08ead795a",Conference Paper,"Final","",Scopus,2-s2.0-84960448952
"Schreiner, G.A., Duarte, D., Dos Santos Mello, R.","57208848173;8561538500;23388937400;","SQLtoKeyNoSQL: A layer for relational to key-based NoSQL database mapping",2015,"17th International Conference on Information Integration and Web-Based Applications and Services, iiWAS 2015 - Proceedings",,,"74","","",,10,"10.1145/2837185.2837224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966738928&doi=10.1145%2f2837185.2837224&partnerID=40&md5=dfb255e589a62e9524afd4c361d859fb",Conference Paper,"Final","",Scopus,2-s2.0-84966738928
"Ma, K., Yang, B.","36761221300;57126573300;","Access-aware in-memory data cache middleware for relational databases",2015,"Proceedings - 2015 IEEE 17th International Conference on High Performance Computing and Communications, 2015 IEEE 7th International Symposium on Cyberspace Safety and Security and 2015 IEEE 12th International Conference on Embedded Software and Systems, HPCC-CSS-ICESS 2015",,,"7336381","1506","1511",,6,"10.1109/HPCC-CSS-ICESS.2015.186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961712314&doi=10.1109%2fHPCC-CSS-ICESS.2015.186&partnerID=40&md5=04b77556538ded12e5258a4aa1396c21",Conference Paper,"Final","",Scopus,2-s2.0-84961712314
"Yang, F., Cao, J., Milosevic, D.","57211947188;57218980017;57150393200;","An evolutionary algorithm for column family schema optimization in HBase",2015,"Proceedings - 2015 IEEE 1st International Conference on Big Data Computing Service and Applications, BigDataService 2015",,,"7184913","439","445",,9,"10.1109/BigDataService.2015.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959484138&doi=10.1109%2fBigDataService.2015.20&partnerID=40&md5=5221eff449defe660f7c182566d8a892",Conference Paper,"Final","",Scopus,2-s2.0-84959484138
"Gupta, K., Sachdev, A., Sureka, A.","57031200300;57031534000;55922095600;","Pragamana: Performance comparison and programming alpha-miner algorithm in relational database query language and NoSQL column-oriented using apache phoenix",2015,"ACM International Conference Proceeding Series","13-17-July-2015",,,"113","118",,,"10.1145/2790798.2790819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955579723&doi=10.1145%2f2790798.2790819&partnerID=40&md5=fcb1661b84cb6d0b2428b0d6118a006e",Conference Paper,"Final","",Scopus,2-s2.0-84955579723
"Hu, Y., Dessloch, S.","55772405200;7801627054;","Temporal data management and processing with column oriented NoSQL Databases",2015,"Journal of Database Management","26","3",,"41","70",,6,"10.4018/JDM.2015070103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958955876&doi=10.4018%2fJDM.2015070103&partnerID=40&md5=954e5922261beccb76789986997b630a",Article,"Final","",Scopus,2-s2.0-84958955876
"Pokorný, J.","57206933518;","Database technologies in the world of big data",2015,"ACM International Conference Proceeding Series","1008",,,"1","12",,6,"10.1145/2812428.2812429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957717068&doi=10.1145%2f2812428.2812429&partnerID=40&md5=562d9c5402f6552353754a539a966186",Conference Paper,"Final","",Scopus,2-s2.0-84957717068
"Kiran, V.K., Vijayakumar, R.","57192983115;56472504300;","Ontology based data integration of NoSQL datastores",2015,"9th International Conference on Industrial and Information Systems, ICIIS 2014",,,"7036545","","",,9,"10.1109/ICIINFS.2014.7036545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924248055&doi=10.1109%2fICIINFS.2014.7036545&partnerID=40&md5=a5adc9a0b2a15ec9379e21cc9b3be30d",Conference Paper,"Final","",Scopus,2-s2.0-84924248055
"Sipos, R.","55578334200;","NoSQL technologies for the CMS conditions database",2015,"Journal of Physics: Conference Series","664","4","042050","","",,1,"10.1088/1742-6596/664/4/042050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962270790&doi=10.1088%2f1742-6596%2f664%2f4%2f042050&partnerID=40&md5=c2b8a76def2b287fa6cc12c9a091bbbd",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84962270790
"Chevalier, M., El Malki, M., Kopliku, A., Teste, O., Tournier, R.","35093821100;56736726100;43461309700;6505857335;23391331300;","How can we implement a multidimensional data warehouse using NoSQL?",2015,"Lecture Notes in Business Information Processing","241",,,"108","130",,19,"10.1007/978-3-319-29133-8_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958972862&doi=10.1007%2f978-3-319-29133-8_6&partnerID=40&md5=7fa2584062c95b704e9b498f0ae0acdb",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84958972862
"Sachdev, A., Gupta, K., Sureka, A.","57031534000;57031200300;55922095600;","Khanan: Performance comparison and programming α-miner algorithm in column-oriented and relational database query languages",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9498",,,"165","180",,1,"10.1007/978-3-319-27057-9_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952673902&doi=10.1007%2f978-3-319-27057-9_12&partnerID=40&md5=d729715ad5dae0fa7cd2899e139dcbff",Conference Paper,"Final","",Scopus,2-s2.0-84952673902
[No author name available],[No author id available],"19th East-European Conference on Advances in Databases and Information Systems, ADBIS 2015 held with Workshops BigDap, DCSA, GID, MEBIS, OAIS, SW4CH, WISARD, 2015",2015,"Communications in Computer and Information Science","539",,,"1","578",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946045049&partnerID=40&md5=365cb976a1383febb60e64dd61d0a9f6",Conference Review,"Final","",Scopus,2-s2.0-84946045049
"Hu, Y., Dessloch, S.","55772405200;7801627054;","Incrementally maintaining materialized temporal views in column-oriented NOSQL databases with partial deltas",2015,"Communications in Computer and Information Science","539",,,"88","96",,1,"10.1007/978-3-319-23201-0_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946017181&doi=10.1007%2f978-3-319-23201-0_11&partnerID=40&md5=41d09c60a873268d6531a4c0e56e7c16",Conference Paper,"Final","",Scopus,2-s2.0-84946017181
"Chevalier, M., El Malki, M., Kopliku, A., Teste, O., Tournier, R.","35093821100;56736726100;43461309700;6505857335;23391331300;","Implementation of multidimensional databases in column-oriented NoSQL systems",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9282",,,"79","91",,25,"10.1007/978-3-319-23135-8_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944595817&doi=10.1007%2f978-3-319-23135-8_6&partnerID=40&md5=89d897c83ece814d2a8813f4b783f51d",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84944595817
"Chevalier, M., El Malki, M., Kopliku, A., Teste, O., Tournier, R.","35093821100;56736726100;43461309700;6505857335;23391331300;","Implementing multidimensional data warehouses into NoSQL",2015,"ICEIS 2015 - 17th International Conference on Enterprise Information Systems, Proceedings","1",,,"172","183",,27,"10.5220/0005379801720183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939516628&doi=10.5220%2f0005379801720183&partnerID=40&md5=c247b7d3fd4afadd8bcaf34028d07106",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84939516628
"Dharavath, R., KumarM.E Ph.D, C.","54405698700;55787390500;","A scalable generic transaction model scenario for distributed NoSQL databases",2015,"Journal of Systems and Software","101",,,"43","58",,9,"10.1016/j.jss.2014.11.037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921664513&doi=10.1016%2fj.jss.2014.11.037&partnerID=40&md5=7cd2a46a224e9052ee2928b8f0f7b4d4",Article,"Final","",Scopus,2-s2.0-84921664513
"Zhao, G., Li, L., Li, Z., Lin, Q.","35218519700;56528605400;56528690400;56528774900;","Multiple nested schema of HBase for migration from SQL",2014,"Proceedings - 2014 9th International Conference on P2P, Parallel, Grid, Cloud and Internet Computing, 3PGCIC 2014",,,"7024606","338","343",,18,"10.1109/3PGCIC.2014.127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946691847&doi=10.1109%2f3PGCIC.2014.127&partnerID=40&md5=bec0ea9b78bf5235412327dfdf429f6b",Conference Paper,"Final","",Scopus,2-s2.0-84946691847
"Garefalakis, P., Papadopoulos, P., Magoutis, K.","55634750500;55872802800;22035826800;","ACaZoo: A distributed key-value store based on replicated LSM-trees",2014,"Proceedings of the IEEE Symposium on Reliable Distributed Systems","2014-January",,"6983396","211","220",,5,"10.1109/SRDS.2014.43","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938909369&doi=10.1109%2fSRDS.2014.43&partnerID=40&md5=d3d8cffb318f3f7fb9886c57e7827f62",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84938909369
"Dehdouh, K., Bentayeb, F., Boussaid, O., Kabachi, N.","56347659700;8863516000;8383254700;8324478200;","Columnar NoSQL CUBE: Agregation operator for columnar NoSQL data warehouse",2014,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics","2014-January","January","6974527","3828","3833",,14,"10.1109/SMC.2014.6974527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938150970&doi=10.1109%2fSMC.2014.6974527&partnerID=40&md5=6d6aaf59d2f9d8558317657591980a84",Conference Paper,"Final","",Scopus,2-s2.0-84938150970
"Hu, Y., Dessloch, S.","55772405200;7801627054;","Defining temporal operators for column oriented NoSQL databases",2014,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8716",,,"39","55",,6,"10.1007/978-3-319-10933-6_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921653539&doi=10.1007%2f978-3-319-10933-6_4&partnerID=40&md5=5cb49a23965a0e1287d5e73ef96843af",Article,"Final","",Scopus,2-s2.0-84921653539
"Dehdouh, K., Boussaid, O., Bentayeb, F.","56347659700;8383254700;8863516000;","Columnar NoSQL star schema benchmark",2014,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8748",,,"281","288",,17,"10.1007/978-3-319-11587-0_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921490025&doi=10.1007%2f978-3-319-11587-0_26&partnerID=40&md5=f81062c5f61cd71443407f7b7a2f0961",Article,"Final","",Scopus,2-s2.0-84921490025
"Hu, Y., Dessloch, S.","55772405200;7801627054;","Extracting deltas from column oriented NoSQL databases for different incremental applications and diverse data targets",2014,"Data and Knowledge Engineering","93",,,"42","59",,7,"10.1016/j.datak.2014.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908204546&doi=10.1016%2fj.datak.2014.07.002&partnerID=40&md5=6829b237d84bb04308038def9da44fbe",Conference Paper,"Final","",Scopus,2-s2.0-84908204546
"Kaur, K., Rani, R.","57192404803;55232407400;","Modeling and querying data in NoSQL databases",2013,"Proceedings - 2013 IEEE International Conference on Big Data, Big Data 2013",,,"6691765","1","7",,82,"10.1109/BigData.2013.6691765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893266005&doi=10.1109%2fBigData.2013.6691765&partnerID=40&md5=91be55e09d943ddd976c90afe446595f",Conference Paper,"Final","",Scopus,2-s2.0-84893266005
"Cai, L., Huang, S., Chen, L., Zheng, Y.","22333734600;55317387000;55810036700;55903944200;","Performance analysis and testing of HBase based on its architecture",2013,"2013 IEEE/ACIS 12th International Conference on Computer and Information Science, ICIS 2013 - Proceedings",,,"6607866","353","358",,11,"10.1109/ICIS.2013.6607866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886460334&doi=10.1109%2fICIS.2013.6607866&partnerID=40&md5=20891737aacd09e044c3dbb044f9be22",Conference Paper,"Final","",Scopus,2-s2.0-84886460334
"Hu, Y., Dessloch, S.","55772405200;7801627054;","Extracting deltas from column oriented NoSQL databases for different incremental applications and diverse data targets",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8133 LNCS",,,"372","387",,5,"10.1007/978-3-642-40683-6_28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883272482&doi=10.1007%2f978-3-642-40683-6_28&partnerID=40&md5=990120065c4cf14a0b095acf3f421924",Conference Paper,"Final","",Scopus,2-s2.0-84883272482
"Hu, Y., Qu, W.","55772405200;55772774600;","Efficiently Extracting Change Data from Column Oriented NoSQL Databases",2013,"Smart Innovation, Systems and Technologies","21",,,"587","598",,3,"10.1007/978-3-642-35473-1_58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879293534&doi=10.1007%2f978-3-642-35473-1_58&partnerID=40&md5=5449f5a0c043d008ea66a4eaac778111",Article,"Final","",Scopus,2-s2.0-84879293534
"Vajk, T., Feher, P., Fekete, K., Charaf, H.","24438646700;55796629921;55247654900;57221665077;","Denormalizing data into schema-free databases",2013,"4th IEEE International Conference on Cognitive Infocommunications, CogInfoCom 2013 - Proceedings",,,"6719198","747","752",,29,"10.1109/CogInfoCom.2013.6719198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894110075&doi=10.1109%2fCogInfoCom.2013.6719198&partnerID=40&md5=a288d0f441d2cb3adebe1674123238c8",Conference Paper,"Final","",Scopus,2-s2.0-84894110075
"Carniel, A.C., De Aguiar Sá, A., Brisighello, V.H.P., Ribeiro, M.X., Bueno, R., Ciferri, R.R., De Aguiar Ciferri, C.D.","55606415200;55606335200;55606319800;56187637300;12753756800;22733677800;22733364200;","Query processing over data warehouse using relational databases and NoSQL",2012,"38th Latin America Conference on Informatics, CLEI 2012 - Conference Proceedings",,,"6427228","","",,4,"10.1109/CLEI.2012.6427228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874292481&doi=10.1109%2fCLEI.2012.6427228&partnerID=40&md5=fd828afb5bf4f2ce2d9ac3f181f5ed67",Conference Paper,"Final","",Scopus,2-s2.0-84874292481
"Han, J., Haihong, E., Le, G., Du, J.","55728848400;36679915000;36677603200;54895898100;","Survey on NoSQL database",2011,"Proceedings - 2011 6th International Conference on Pervasive Computing and Applications, ICPCA 2011",,,"6106531","363","366",,516,"10.1109/ICPCA.2011.6106531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855888662&doi=10.1109%2fICPCA.2011.6106531&partnerID=40&md5=3e602333d5d8a5163e3e5a17ce8a82ca",Conference Paper,"Final","",Scopus,2-s2.0-84855888662
